place lattitude longitude 
Mumbai 19.097582 72.867477
Mumbai 19.751480 75.713888
TamilNadu 11.127123 78.656894
Malabar 11.259125 75.803761
Nagpur 21.145800 79.088155
Mumbai 19.045114 72.859549
Ramnad 9.370589 78.833457
Ranchi 23.344100 85.309562
Gujarat 22.274356 71.310477
Mumbai 19.130346 72.860954
Moradabad 28.838648 78.773329
Bhiwandi 19.281255 73.048291
Delhi 28.704059 77.102490
Punjab 31.147130 75.341218
Ahmedabad 23.022505 72.571362
Meerut 28.984462 77.706414
Bhagalpur 25.241430 86.992436
Hyderabad 17.385044 78.486671
Karnataka 15.317277 75.713888
Mumbai 19.075984 72.877656
Bangalore 12.971599 77.594563
Gujarat 22.778804 73.614280
Gujarat 22.258652 71.192381
WestBengal 22.986757 87.854976
Muzaffarnagar 29.472682 77.708509
Hyderabad 17.385044 78.486671
Nagapattinam 10.765608 79.842389
Tripura 23.940848 91.988153
Assam 26.200604 92.937574
Kashmir 33.778175 76.576171
Bijbehara 33.786899 75.099576
Bihar 25.096074 85.313119
HimachalPradesh 31.104829 77.173390
Tripura 23.756696 91.674916
Kerla 10.846660 76.279387
Orisasa 20.951666 85.098524
Assam 26.192290 92.952513
